Tag;Equipamento
00001;Vestiário Masculino
00002;VESTIÁRIO FEMININO
00002;Sala PCP
00003;Chapa da doca
00004;Pátio
00006;Gerador de espuma
00006;Máquina de costura 3
00008;Lâmpada led tubular
00008;Insumo
00008;Tomada
00009;Tomada
00012;ÁREA FRIA
00013;Buffet térmico
00014;Paleteira
00014;Sala de manipulação
00015;Clipadeira 1
00016;Escada moinho
00017;Paleteira inox
00018;Setor de Expedição
00019;corredor das estufas area fria
00020;Carrinho
00021;Seladora automática 4
00022;Mesa
00022;area externa
00023;Rack
00024;Prateleiras
00025;Refeitório
00025;SETOR DA EMBALAGEM
00026;Faca
00026;Ventilador
00027;Refletor
00028;Mesa
00029;carrinho de glicerina manipulação
00030;Mesa da balança
00030;VENTILADOR 60CM
00031;Higienização
00032;Extintor
00033;Paleteira
00033;Paleteira
00034;Carrinho
00035;Cadeira
00036;Paleteira azul
00037;Extintor
00038;Prateleiras
00039;Lâmpada led tubular
00040;Rack
00041;Carrinho de glicerina
00042;Ventilador
00043;Suporte de proteção do painel
00044;Paleteira
00045;Painel de controle alimentador extrusora
00045;Paleteira
00046;Setor da Extrusão
00047;Chave para abrir galão
00048;Biodigestor
00049;sala descongelamentos
00050;Suporte de tirar bandejas
00050;Stand Up Pounch
00051;Ventilador
00052;Relógio ponto
00052;Câmera
00053;Armadilha luminosa
00054;Balança de chão 1000kg
00055;Tanque de polipropileno 1-3
00056;Tanque de polipropileno 4-6
00057;Tanque de polipropileno 7-9
00058;Mesa para inverter tripa
00059;Motobomba periférica
00060;Caixa de Inox
00061;Tanque tingimento tripa
00062;Paleteira
00063;Câmara fria 1
00064;Painel de comando
00065;Compressor
00066;Evaporador
00067;Câmara fria 2
00068;Painel de comando 1
00069;Painel de comando 2
00070;Compressor 1
00071;Compressor 2
00072;Evaporador 1 c/ 5 motores
00073;Evaporador 2 c/ 5 motores
00074;Balança de chão 1000kg
00075;Balança 50kg
00076;Balança 50kg
00077;Mesa inox 1
00078;Mesa inox 2
00079;Mesa inox 3
00080;Mesa inox 4
00081;Bifetadeira
00082;Ventilador 1
00083;Ventilador 2
00084;Ventilador 3
00085;Motobomba periférica de água
00086;CLIMATIZADOR ECO BRISA
00086;Corredor de entrada
00087;Hidrolavadora
00088;Exaustor
00089;Misturador de vapor
00090;Ar condicionado
00091;Gaveteiro inox 1
00092;Gaveteiro inox 2
00093;Armário inox 1
00094;Armário inox 2
00095;Armário inox 3
00096;Armário inox 4
00097;Armário inox 5
00098;Datadora
00099;Analisador de umidade
00100;Analisador de aw 1
00101;Analisador de aw 2
00102;Extensão
00102;ESTUFA 05
00103;Motor elétrico 1
00103;Suporte
00104;Motor elétrico 2
00105;Motor elétrico 3
00106;Estufa 6
00107;Motor elétrico 1
00108;Motor elétrico 2
00109;Motor elétrico 3
00110;Estufa 7
00111;Motor elétrico 1
00112;Motor elétrico 2
00113;Motor elétrico 3
00114;Motor elétrico 4
00115;Estufa 8
00116;Motor elétrico 1
00117;Motor elétrico 2
00118;Motor elétrico 3
00119;Motor elétrico 4
00120;Quadro de comando 5-6
00121;Quadro de comando 7
00122;Quadro de comando 8
00123;Armadilha luminosa
00124;Bebedouro
00125;Extrusora 1
